Orange 07
0,191,144,39
0.025,195,148,44
0.05,199,152,49
0.075,203,156,54
0.1,207,160,59
0.125,211,163,63
0.15,215,167,68
0.175,218,171,73
0.2,222,175,77
0.2035847808947328,223,176,78
0.225,225,179,81
0.25,227,182,85
0.275,229,185,88
0.3,232,188,92
0.325,234,191,96
0.35,236,195,99
0.375,239,198,103
0.4,241,201,106
0.425,243,204,110
0.45,245,207,114
0.475,248,211,117
0.5,250,214,121
0.525,250,216,125
0.55,251,217,129
0.575,251,219,133
0.6,251,221,137
0.625,252,223,141
0.65,252,224,145
0.675,252,226,149
0.7,253,228,152
0.725,253,230,156
0.75,253,231,160
0.775,253,233,166
0.8,254,234,172
0.825,254,235,178
0.85,254,236,183
0.875,255,238,189
0.9,255,239,195
0.925,255,240,200
0.95,255,241,206
0.975,255,242,212
1,255,244,218
